item_id,timestamp,labels,categories,comment
HD37654191,1758007507,estate:黃埔花園|region:黃埔,rental,"{""rent_price"": 25000.0}"
HD37654247,1758016208,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 8100000.0}"
HD37654143,1758033196,estate:斌善軒|region:錦田,rental,"{""rent_price"": 13500.0}"
HD37654213,1758075661,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 6080000.0}"
HD37654250,1758075751,estate:錦豐花園|region:錦田,rental|sale,"{""rent_price"": 15000.0, ""sale_price"": 5600000.0}"
HD37654242,1758089020,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 7800000.0}"
HD37653873,1758089745,estate:翠景花園|region:大圍,sale,"{""sale_price"": 5300000.0}"
HD37654230,1758096687,estate:海逸豪園|region:海逸,sale,"{""sale_price"": 30000000.0}"
HD37654248,1758104029,estate:海逸豪園|region:海逸,sale,"{""sale_price"": 12680000.0}"
HD37654142,1758166582,estate:泓瀚花園|region:八鄉南,rental,"{""rent_price"": 13500.0}"
HD37653974,1758166623,estate:藍灣半島|region:小西灣,rental,"{""rent_price"": 33000.0}"
HD37654124,1758166871,estate:石湖塘|region:八鄉南,rental,"{""rent_price"": 19000.0}"
HD37654246,1758166939,estate:海逸豪園|region:海逸,sale,"{""sale_price"": 15500000.0}"
HD37653978,1758167051,estate:藍灣半島|region:小西灣,rental,"{""rent_price"": 22000.0}"
HD37652821,1758167059,estate:天馬苑|region:黃大仙,rental,"{""rent_price"": 12000.0}"
HD37654245,1758167351,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 13000000.0}"
HD37654240,1758167357,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 8580000.0}"
HD37654251,1758175633,estate:海逸豪園|region:海逸,sale,"{""sale_price"": 8880000.0}"
HD37654253,1758176227,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 8300000.0}"
HD37653993,1758176580,estate:藍灣半島|region:小西灣,rental,"{""rent_price"": 22600.0}"
HD37652708,1758177199,estate:啟德花園|region:黃大仙,sale,"{""sale_price"": 4500000.0}"
HD37654260,1758178875,estate:海逸豪園|region:海逸,sale,"{""sale_price"": 8980000.0}"
HD37654535,1758179169,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 9500000.0}"
HD37654734,1758179342,estate:半島豪庭|region:黃埔,sale,"{""sale_price"": 5750000.0}"
HD37653985,1758179535,estate:藍灣半島|region:小西灣,rental,"{""rent_price"": 17000.0}"
HD37654879,1758179634,estate:半島豪庭|region:黃埔,rental,"{""rent_price"": 43000.0}"
HD37654942,1758180556,estate:半島豪庭|region:黃埔,rental,"{""rent_price"": 16000.0}"
HD37654064,1758180603,estate:牛徑村|region:八鄉南,sale,"{""sale_price"": 17500000.0}"
HD37654067,1758180616,estate:水流田|region:八鄉南,sale,"{""sale_price"": 2680000.0}"
HD37654953,1758180801,estate:黃埔花園|region:黃埔,rental,"{""rent_price"": 16000.0}"
HD37654948,1758181027,estate:半島豪庭|region:黃埔,rental,"{""rent_price"": 28500.0}"
HD37654066,1758182212,estate:橫台山邱屋村|region:八鄉北,rental,"{""rent_price"": 12000.0}"
HD37654972,1758183875,estate:海逸豪園|region:海逸,rental,"{""rent_price"": 34988.0}"
HD37654971,1758183943,estate:都會軒|region:紅磡站,rental,"{""rent_price"": 22800.0}"
HD37654789,1758186099,estate:海逸豪園|region:海逸,sale,"{""sale_price"": 14500000.0}"
HD37654848,1758186365,estate:又一居|region:又一村,rental,"{""rent_price"": 26888.0}"
HD37654675,1758186426,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 9500000.0}"
HD37654788,1758190046,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 6280000.0}"
HD37654784,1758190105,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 8800000.0}"
HD37654778,1758190133,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 5670000.0}"
HD37654973,1758190691,estate:黃埔花園|region:黃埔,rental,"{""rent_price"": 17500.0}"
HD37654980,1758250393,estate:海濱南岸|region:黃埔,rental,"{""rent_price"": 19000.0}"
HD37654975,1758252791,estate:黃埔唐樓|region:紅磡,sale,"{""sale_price"": 2480000.0}"
HD37654981,1758253050,estate:黃埔花園|region:黃埔,rental,"{""rent_price"": 34500.0}"
HD37654774,1758253143,estate:紅磡灣中心|region:紅磡,sale,"{""sale_price"": 5000000.0}"
HD37654970,1758253421,estate:海逸豪園|region:海逸,rental,"{""rent_price"": 38000.0}"
HD37654766,1758253478,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 7550000.0}"
HD37654103,1758253513,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 8680000.0}"
HD37654105,1758253517,estate:黃埔花園|region:黃埔,sale,"{""sale_price"": 8880000.0}"
HD37654978,1758253773,estate:黃埔花園|region:黃埔,rental,"{""rent_price"": 29800.0}"
HD37654974,1758253789,estate:黃埔花園|region:黃埔,rental,"{""rent_price"": 30500.0}"
HD37654601,1758261650,estate:海濱南岸|region:黃埔,sale,"{""sale_price"": 7480000.0}"
HD37654791,1758262419,estate:半島豪庭|region:黃埔,sale,"{""sale_price"": 11780000.0}"
